deg_urb,geo,TIME_PERIOD,OBS_VALUE
DEG3,DE,2018,10.4
DEG3,DE,2019,12.4
DEG3,DE,2020,6.8
DEG3,DE,2021,8.6
DEG3,DK,2010,16.4
DEG3,DK,2011,14.8
DEG3,DK,2012,12.3
DEG3,DK,2013,13.6
DEG3,DK,2014,10.9
DEG3,DK,2015,10.9
DEG3,DK,2016,9.4
DEG3,DK,2017,9.9
DEG3,DK,2018,10.7
DEG3,DK,2019,11.5
DEG3,DK,2020,9.7
DEG3,DK,2021,10.5
DEG3,EE,2010,4.8
DEG3,EE,2011,5.9
DEG3,EE,2012,5.8
DEG3,EE,2013,5.4
DEG3,EE,2014,6.2
DEG3,EE,2015,5.2
DEG3,EE,2016,3.5
DEG3,EE,2017,3.6
DEG3,EE,2018,2.7
DEG3,EE,2019,3.3
DEG3,EE,2020,3.5
DEG3,EE,2021,3.2
DEG3,EE,2022,4.0
DEG3,EL,2010,17.7
DEG3,EL,2011,20.5
DEG3,EL,2012,30.1
DEG3,EL,2013,34.4
DEG3,EL,2014,41.2
DEG3,EL,2015,39.6
DEG3,EL,2016,34.6
DEG3,EL,2017,31.9
DEG3,EL,2018,31.7
DEG3,EL,2019,28.3
DEG3,EL,2020,25.0
DEG3,EL,2021,22.0
DEG3,ES,2010,6.2
DEG3,ES,2011,8.1
DEG3,ES,2012,8.0
DEG3,ES,2013,7.9
DEG3,ES,2014,8.7
DEG3,ES,2015,8.6
DEG3,ES,2016,6.8
DEG3,ES,2017,6.9
DEG3,ES,2018,6.0
DEG3,ES,2019,4.6
DEG3,ES,2020,5.1
DEG3,ES,2021,5.3
DEG3,ES,2022,4.7
DEG3,EU27_2020,2010,8.7
DEG3,EU27_2020,2011,9.0
DEG3,EU27_2020,2012,9.6
DEG3,EU27_2020,2013,10.0
DEG3,EU27_2020,2014,9.9
DEG3,EU27_2020,2015,9.1
DEG3,EU27_2020,2016,8.5
DEG3,EU27_2020,2017,7.7
DEG3,EU27_2020,2018,7.1
DEG3,EU27_2020,2019,7.0
DEG3,EU27_2020,2020,5.8
DEG3,EU27_2020,2021,6.2
DEG3,FI,2010,3.5
DEG3,FI,2011,3.9
DEG3,FI,2012,4.1
DEG3,FI,2013,3.9
DEG3,FI,2014,3.6
DEG3,FI,2015,2.9
DEG3,FI,2016,3.1
DEG3,FI,2017,2.8
DEG3,FI,2018,2.7
DEG3,FI,2019,2.5
DEG3,FI,2020,2.5
DEG3,FI,2021,2.6
DEG3,FI,2022,3.6
DEG3,FR,2010,2.9
DEG3,FR,2011,2.9
DEG3,FR,2012,3.0
DEG3,FR,2013,3.5
DEG3,FR,2014,2.9
DEG3,FR,2015,3.4
DEG3,FR,2016,3.0
DEG3,FR,2017,2.5
DEG3,FR,2018,2.4
DEG3,FR,2019,2.8
